,sentence
0,이 프로그램은 ‘효리네 민박’ ‘마녀사냥’ 등을 만든 정효민 PD가 연출한다.
1,특히 예고편 중간에 남매급으로 닮은 이광수와 김연경의 싱크로율을 확인시켜주는 장면은 온라인커뮤니티와 트위터 등에 공유되며 화제가 되고 있다.
2,누리꾼들은 김연경 얼굴에서 이광수 얼굴로 자연스럽게 넘어가는 영상에 “이게 말이 되냐 등의 반응을 보이며 놀라워하고 있다.
3,‘코리아 넘버원’ 메인포스터에는 다채로운 표정의 세 출연진 얼굴과 쪽빛 염색 죽방 멸치 어획 기와 만들기 등 이들이 경험한 전통 노동을 표현한 일러스트가 담겼다.
4,플랫폼 과잉으로 인한 분산 효과일 테지만 지금은 콘텐트도 옹기종기 커뮤니티로 뭉쳐진 팬덤층이 이끌며 ‘롱런’을 만들어가는 취향 파편화의 시대이기 때문이다.
5,‘낚시 채널도 아닌데 낚시 예능이 나오네?’ ‘도시어부’가 채널A에 처음 공개되었을 때 대중의 반응이었다.
6,그러나 이덕화 이경규 등 연예계 소문난 낚시광의 우여곡절과 취향 진심이 흥행으로 이어진 대표적인 덕업일치 방송이다.
7,대한축구협회 제공연합뉴스 취미에서 한발 더 나아간 스포츠 예능의 인기도 여전하다.
8,흔히 ‘세상에서 여자들이 제일 싫어하는 게 군대와 축구 얘기’라는 말이 있지 않은가.
9,그럼에도 우리는 온몸이 아니라 온 정신을 바쳐 축구공을 향해 달리고 넘어지고 깨지는 그녀들의 진심을 보고 있다.
10,대중은 또 이 지점에서 ‘나이는 숫자에 불과하다’라는 지극히 상투적인 메시지에 반응한다.
11,몇 명을 제외하고는 모두 국가대표 출신들이며 전성기 시절 최소 연봉으로 수십억원은 가뿐히 번 선수들이다.
12,JTBC 야구예능 최강야구에서 득점을 올린 이승엽 감독 겸 선수가 동료들과 기쁨을 나누고 있다.
13,우리는 글러브 없이 맨손으로 볼을 잡아 던지는 정근우의 왼손 캐치와 텅 빈 경기장에서 입스(심리적 불안증세)에 빠진 이홍구를 연습시키는 선배 송승준의 모습에서 마흔다섯의 박용택이 머리 위로 날아가는 타구를 전력질주로 잡아 담장에 부딪히는 장면에서 말 그대로 은퇴한 아재들의 진심전력을 본다.
14,그들이 ‘최강야구’에서 가장 자주 하는 말은 ‘나… 야구 좋아하는구나’이고 우리가 가장 많이 하는 생각은 ‘은퇴한 저들이 야구에 설레는구나’이다.
15,이승엽 감독이 아픈 서동욱을 대신해 순식간에 헬멧을 챙겨 출전한 장면에는 ‘대주자 이승엽?…이거 실화냐’라는 웃픈 자막이 달렸는데 마운드도 덕아웃도 중계실에 있는 그들 모두의 뭉클함이 시청자에게 오롯이 전달되었다.
