,sentence
0,BTS 의존도 낮추기 사활 건 하이브숫자로 엿보는 뉴진스의 ‘단기 고성과’ 그룹 뉴진스의 하니.
1,구찌코리아 제공그룹 뉴진스의 멤버 하니가 이탈리아 럭셔리 브랜드 구찌의 앰버서더가 됐다.
2,K팝 콘텐츠의 매력에 따라 한국 연예인을 자사 글로벌 앰버서더까지 세우는 브랜드가 늘어나고 있다.
3,방탄소년단(BTS)에의 의존도를 낮추려는 하이브는 여러 보도자료를 통해 뉴진스 등 새 간판 그룹의 등장을 강조하고 있다.
4,일각에선 BTS에의 의존도를 낮추기 위해 과하게 홍보한다는 주장이 있으나 뉴진스의 등장 후 하이브 주가가 소폭 반등한 것은 사실이다.
5,이들이 발매했던 가방형 앨범은 발매 직후 두 배가량 프리미엄이 붙어 중고거래 홈페이지를 통해서도 유통됐다.
6,멤버들은 인스타그램을 통해 앨범 가방을 착용한 사진을 올렸고 팬들의 구매 욕구를 자극했다.
7,구찌는 새 앰버서더 발탁 이유로 “스타일에 대한 하니의 확고한 철학은 우리 일상 전반에 녹아 있는 팝 컬처에 대해 주목하도록 만들며 다양성을 포용하고 자기 표현을 중시하는 구찌의 비전과 닮아 있다고 전했다.
8,새 앰버서더 발탁으로 기대하는 매출·파급력 관련한 설명을 묻는 구체적 질의에는 답하지 않았다.
9,앞서 구찌는 국내 K팝 아이돌 엑소 카이 아이유에 이어 이정재 신민아를 앰버서더로 발탁했다.
10,멤버들은 손글씨로 자취를 남겼고 한정판 가방도 전시돼 소비 심리를 움직였다.
11,패션 커뮤니티 일각에선 한국 기업의 이 같은 표현이 어색하다는 지적이 나온다.
12,다만 무신사는 이 같은 움직임을 앞세워 세계 시장을 공략하겠다는 심산이다.
13,한 업계 관계자는 “새 앰버서더를 고를 땐 회사가 원하는 고객의 나이대를 정한다며 “확장하고 싶은 고객층이 있으면 새 앰버서더를 뽑거나 화보 촬영 계약만 해 마케팅을 하기도 한다고 설명했다.
14,스포츠조선 문지연 기자 걸그룹 뉴진스의 하니가 신인으로는 파격적으로 명품 브랜드의 앰버서더가 됐다.
15,반짝이는 젊음과 대담하고 달콤하면서도 매력적인 뉴진스의 프레시한 룩과 스타일이 명랑한 음악과의 완벽한 조화까지 보여줬다.
16,이에 구찌는 하니를 앰버서더로 임명한 이유를 밝히며 순수한 매력과 타고난 패션 센스를 가진 아이코닉한 아티스트로 전세계적 사랑을 받고 있다.
17,하니가 무대 위에서 보여주는 넘치는 재능과 열정적인 퍼포먼스는 글로벌 팬들을 사로잡았다고 밝히기도.
18,스타일에 대한 하니의 확고한 철학이 일상에 녹아 있는 팝 컬처에 대한 주목을 높이고 다양성을 표현하는 구찌의 비전과 닮아 있다고 설명했다.
19,카메라를 바라보고 있는 그의 모습에서 소녀다움이 느껴지는 등 명품 브랜드의 앰버서더로 손색 없는 에너지가 전달됐다.
20,뿐만 아니라 전세계 팬들을 대상으로 하는 유튜브 콘텐츠에서도 강점을 보이고 있다.
21,com *재판매 및 DB 금지 *재판매 및 DB 금지서울뉴시스장인영 인턴 기자 그룹 뉴진스(NewJenas)가 부산에서 잊지 못할 추억을 쌓는다.
22,오로지 미션을 향해 직진한 민지·혜인과 달리 하니·다니엘·해린은 거리 곳곳을 포토존 삼아 사진을 찍는 등 자유분방한 모습을 보인다.
23,특히 공격하는 족족 성공하는 에이스 민지와 소리 없이 강한 해린의 대결은 보는 이들마저 긴장하게 만든다.
24,특히 민지는 스퀘어넥 스웨트셔츠에 체크 프린지 스커트를 스타일링하며 프레피한 매력을 한껏 뽐냈으며 하니는 크롭트 카디건 톱에 오버사이즈 데님 팬츠로 독보적인 매력의 힙한 스타일을 연출했다.
25,다니엘은 스커트가 레이어드 된 유니크한 데님 스커트 팬츠에 컬러 배색으로 포인트를 준 집업 카디건을 매치했고 해린은 베이스볼 자켓과 오버사이즈 카고 데님으로 아메리칸 빈티지와 스트리트 무드를 완벽하게 소화했다.
26,끝으로 혜인은 벨벳 후드 집업에 와이드 데님 팬츠를 매치하는 등 멤버마다 ‘진’을 각자의 개성이 돋보이는 방식으로 풀어냈다.
27,대기실에서 찍은 듯한 이 사진은 제시의 아슬아슬한 뒤태 노출 패션이 담겼다.
28,제시는 청바지의 앞섬을 열어젖히고 골반에 걸쳐 끈팬티까지 당당하게 보여줬다.
29,작가 김완선 취미로 그림 시작해 전시까지프리다 칼로에 큰 공감…그림에 영감 받아후배 해외진출 부러워…미국은 상상도 못해전성기 리즈 시절?
30,그 후로 리듬속의 그 춤을 삐에로는 우릴 보고 웃지 이젠 잊기로 해요 기분 좋은 날 등등 큰 사랑을 받았죠.
31,그런데 영원한 댄싱 퀸인 줄 알았던 김완선 씨가 화가가 돼서 돌아왔습니다.
32,◇ 김현정&gt; 화가 작가 이렇게 불리는 기분이 어떠세요?◆ 김완선&gt; 글쎄 제가 사실 그 울산 국제아트페어에 처음 가서 관객분들하고 이렇게 대화하는 그런 시간이 있었어요.
33,그런 행사가 있었는데 거기에서 이제 저를 김완선 작가님으로 이렇게 소개를 하셨더라고요.
34,◇ 김현정&gt; 아니 뭐 꾸준히 음악 활동하시고 방송 활동하시고 열심히 활동을 하시는 건 알았는데 저는 그림을 이렇게 작품을 전시할 정도로 그리시는 줄은 몰랐어요.
35,그런데 이제 그 이후에도 그림을 그리려고 해봤는데 일을 하다 보니까 그게 또 집중이 잘 안 되더라고요.
36,그래서 참 너무 감사하게 생각하고 하여튼 저에게 좋은 기회를 열어주신 것 같아요.
37,◇ 김현정&gt; 그 작품들을 한 번 지금 보면서 보면서 작가님의 설명을 직접 들어볼까요.
38,한 여성의 얼굴 그림인데 프리다 칼로라는 멕시코 화가라고요?◆ 김완선&gt; 맞아요.
39,이게 죽기 직전에 이 프리다 칼로의 마지막 말이 이 죽음의 여행이 행복하기를 그리고 다시 돌아오지 않기를 이런 말을 하고 죽은 거예요.
40,너무 와닿고 나랑 너무 비슷한 생각을 가진 사람이다 해서 그래서 그 글귀도 그림에 좀 적어넣었어요.
41,◇ 김현정&gt; 지금 글귀가 이 죽음의 여행이 행복하기를 그리고 다시 돌아오지 않기를 이렇게 영어로 이렇게 적혀져 있는데 왜 이 말이 그렇게 마음에 와 닿으셨어요?◆ 김완선&gt; 정말 고통스러운 삶이지만 본인은 최선을 다해서 살았던 것 같아요.
42,◇ 김현정&gt; 거실 벽에도 저 그림을 다 걸은 두 번째 작품으로 가겠습니다.
43,김완선 화가의 두 번째 이 작품은 제목이 잇츠유 역시 여성의 그림인데 여성의 얼굴인데 저는 언뜻 보면서 인상이 김완선 씨 자화상인가?◆ 김완선&gt; 자화상인 거죠.
44,그래서 예전에 제가 데뷔했을 때 머리가 이렇게 곱슬곱슬한 머리가 그냥 저의 원래 머리예요.
45,◇ 김현정&gt; 그게 파마하고 나오신 게 아니었어요?◆ 김완선&gt; 아니에요.
46,이 작품이 이제 저는 미스터리인데 제가 지금 라디오를 들으시는 청취자들께 어떻게 설명을 드리기가 애매해요.
47,약간 언뜻 보면 무슨 동물 늑대 같기도 하고 그런데 눈만 반짝반짝거리는 어떤 노란색 물체인데 제목이 삐에로는 우리를 보고 웃지입니다.
48,그래서 사실 같이 붙어 있는데 그 그림을 그리고 그리고 그리다 보니까 결국은 컬러를 다 빼게 됐어요.
49,처음에는 굉장히 컬러풀한 그림이었는데 자꾸 계속 보다 보면 또 이렇게 바꾸고 또 계속 보다 보면 또 이렇게 바꾸고 하다가.
50,◆ 김완선&gt; 그래서 지금은 저 그림 완성은 거의 이제 컬러를 다 뺀 상태였는데 저게 결국엔 제일 마음에 들더라고요.
51,그래서 저렇게 됐는데 그래서 이제 삐에로는 우릴 보고 웃지라는 제목을 붙였어요.
52,◆ 김완선&gt; 그냥 뭐 이렇게 뭐든 안 좋은 기억들을 덮어버리자?◇ 김현정&gt; 아니 최근에 한 예능 프로그램을 보니까 이효리 엄정화 보아 화사 후배 가수들이 김완선 씨 댁에 놀러 갔더라고요.
53,선배 언니가 선배 가수가 그런 얘기를 하니까 다들 이게 무슨 얘기야 하면서 듣는 이런.
54,◆ 김완선&gt; 그러니까 일적으로는 사실 너무 사랑을 많이 받았으니까 저한테는 가장 리즈 시절이기도 하겠죠.
55,근데 하지만 제 개인적으로는 조금 같이 일하시는 분하고 좀 갈등이 있었고 또 그런 거를 그 어린 나이였기 때문에 제가 아무리 풀고 싶어도 그게 되지가 않았어요.
56,시도조차 할 수도 없었고 시도를 한다 해도 금방 이렇게 무시되고 그런 게 계속 반복이 되다 보니까 어떤 가장 슬픈 거는 어떤 일에 대한 애정을 잃어버렸던 거죠.
57,◆ 김완선&gt; 좋아하는 일을 시작했는데 그 일을 좋아하게 되지 못하게 된 거죠.
58,그리고 좀 어느 정도는 포기를 하게 된 마음 그런 것도 좀 있었고 그런 게 사실은 좀 가장 안타까운 부분인 것 같아요.
59,◇ 김현정&gt; 삐에로는 우릴 보며 웃지가 김완선 씨의 최대 히트곡 중에 하나인데 그 제목을 한 그림은 저렇게 까맣게 덧칠이 돼 있다는 게 지금 말씀하신 그 스토리와 다 맞아 떨어지는 게 있네요.
60,그런 가요제를 통해서 혹은 매니저들이 이렇게 라이브 카페 같은 데서 노래 잘하는 사람 마음에 맞는 사람 있으면 같이 하고 그런 식으로 가수가 되는 기회가 있었다면 저처럼 이렇게 일찍한 케이스가 처음이죠.
61,◇ 김현정&gt; 요즘에 종횡무진하는 후배들 보면 뭐 BTS니 블랙핑크니 뭐 이런 또 굉장히 어린 친구 뉴진스 이런 친구들 보면 어떠세요?◆ 김완선&gt; 부러워 죽겠어요.
62,왜요?◆ 김완선&gt; 아니 너무 일단 잘하고 일단 대한민국이 이런 시대가 올 거라고 정말 상상도 못했어요.
63,저희 매니저였던 분은 그때 우리나라에서 미국까지 이런 건 진출하는 건 좀 그렇고 하지만 아시아까지 할 수 있겠다라는 생각을 했었는데.
64,◇ 김현정&gt; 미국은 상상도 못 할 일이었습니까?◆ 김완선&gt; 상상도 못했죠.
