,sentence
0,김현중은 힘든 시기에 만난 연인과 결혼식은 생략하고 혼인신고로 부부의 연을 맺었다.
1,당시 소속사는 어려운 시국임을 감안해 예식 등의 절차는 생략하게 됐다면서 일반인 배우자의 입장을 고려해 조심스럽게 소식을 전하게 됐다고 설명했다.
2,/사진유튜브 채널 튀르키예즈온더블럭개그맨 이용진이 SNS 게시물을 삭제하는 연예인들을 저격했다.
3,팔로워 높은 사람들은 어느 순간 휴지통 비우기하는 것처럼 (게시물을) 왜 지우는 거냐고 저격했다.
4,자기 얼굴도 아니고 그림자 사진 소주 한 잔 먹고 있는 사진을 휙 올린다.
5,#레플리카 #모티프 #스타일(st) 같은 해시태그만으로도 수십만건의 게시물이 검색되는 인스타그램 등 소셜네트워크서비스(SNS)에서는 이처럼 명품을 대놓고 베낀 위조상품(짝퉁) 거래가 빈번히 이뤄지고 있습니다.
6,명품 수요가 늘고 소비 비중도 커지면서 온라인 짝퉁 거래도 덩달아 증가한 것입니다.
7,물론 적발된 것만 이렇고 실제 가품 시장 규모는 수천억~수조원에 달할 것으로 추정됩니다.
8,명품 구입을 위한 시민들이 서울 시내 한 백화점에서 매장 입장을 기다리고 있다.
9,그러나 그가 유튜브 채널과 인스타그램에서 선보인 명품이 일부 가짜라는 의혹이 제기됐고 스스로 이를 인정하면서 활동 정지 수순에 이르게 됐습니다.
10,이 시기 송지아 기사에 짝퉁 한 번 안 사본 사람 있느냐는 댓글이 심심찮게 달리는 것은 한국 사회가 그만큼 짝퉁에 무감각하다는 점을 잘 보여줍니다.
11,고가 명품을 사면서 SNS 플렉스(재력이나 귀중품을 과시하는 행위)를 하는 이들이 많이 늘어난 만큼 짝퉁을 구매하며 비슷한 과시 심리를 느끼는 사람도 늘어난 것입니다.
12,여기에 짝퉁 판매자들이 정품과 거의 유사한 제품을 훨씬 저렴한 가격에 살 수 있다고 광고하는 탓에 가성비(가격 대비 성능) 추구 심리가 작동하기도 합니다.
13,/연합뉴스특히 블로그나 SNS 등을 통해 개인 간 거래하는 소셜커머스가 확대되면서 짝퉁 시장은 더 빠르게 몸집을 불렸습니다.
14,주문이 많으니 얼른 예약해야 가방을 받아볼 수 있다며 구매를 부추겼습니다.
15,올해 들어서는 엔데믹(전염병의 풍토병화) 전환으로 야외 활동이 늘면서 짝퉁 시장도 오프라인으로 나오는 추세입니다.
16,관광업계의 손님맞이가 시작되는 가운데 과거 남대문시장이나 이태원 등 외국인 관광객이 많이 몰리는 지역 일대 뒷골목에서 암암리에 거래되던 가짜 명품이 거리로 나왔습니다.
17,/연합뉴스이처럼 청담·압구정 등 강남 일대에선 수백만~수천만원대로 비싼 특S급 가품이 기승입니다.
18,아는 사람만 아는 이러한 짝퉁 거래는 은밀한 방판(방문판매)으로 이뤄지곤 합니다.
19,이들이 짝퉁을 사는 이유는 해당 제품이 VIP에게만 판매하는 등 구매가 까다롭고 대기가 길어 돈이 있어도 사기가 어렵기 때문입니다.
20,그는 에르메스·샤넬 등 초고가 명품을 즐겨매는 부유층들은 짝퉁 구매도 망설이지 않는다.
21,정품은 집에 모셔두고 가품을 편하게 들고 다니는 식이라며 가품이라도 워낙 비싼 제품이니 퀄리티(질)가 좋다고 전했습니다.
22,짝퉁을 구매할 수 있는 통로가 다양해지고 그 방법도 점차 쉬워지면서 나타나는 부작용이 많지만 처벌은 부실합니다.
23,그러나 대부분 처벌이 집행유예나 벌금 수준에 그치는 데다 위조품 판매 수익보다 추징금이 낮다 보니 악순환이 반복됩니다.
24,위조품 판매자만 처벌 대상이고 구매자는 처벌하지 않는 점도 문제로 지적됩니다.
25,최근 공개된 SBS 예능프로그램 ‘런닝맨’ 예고편에서는 ‘런닝맨 석진’과 ‘BTS 석진’이 ‘석진 세계관’을 이룬 ‘석진 대 석진’ 레이스가 공개되며 화제를 모았다.
26,최근 진행된 녹화에서 멤버들은 ‘BTS 진’과 ‘런닝맨 석진’ 중 한 팀을 랜덤으로 선택해야 했다.
27,BTS 진을 선택한 멤버들은 “너무 신기하다 “운이 너무 좋다 “너무 잘생겼다라며 최상의 텐션을 보이는 반면 지석진 팀을 선택한 멤버들은 “똥 밟았다 “최악이다 너무 다른 석진이다라며 상반된 반응을 보여 현장을 폭소케 했다.
28,이에 진은 “이렇게 환대해주다니 ‘런닝맨’ 너무 좋다 “연예인 보는 것 같다 라며 출연 소감을 전했다.
29,이어 진은 “내가 하고 싶은 대로 하겠다며 레이스에 대한 강한 자신감을 내비쳤지만 뜻밖의 몸 개그를 선보이며 종이 인형으로 전락했고 이에 멤버들은 “인간미가 넘친다 “진이의 허점이.
30,영상에서 이하늘은 자신의 어깨에 기댄 여자친구의 마스크를 직접 올려주며 활짝 웃었다.
31,다른 영상에서 이하늘은 여자친구와 영상을 찍으며 손가락으로 브이 자를 그리는가 하면 장난기 가득한 웃음도 지었다.
32,이어 그는 여자친구의 머리카락을 다정하게 쓸어넘겨주며 행복이 넘치는 웃음을 보여 눈길을 끌었다.
33,스포츠조선 문지연 기자 배우 곽도원이 음주운전으로 물의를 빚은 상황에서 당시 동승자가 있었던 것으로 확인됐다.
34,제주경찰청에 따르면 제주서부경찰서는 최근 곽도원을 음주운전 혐의로 출석시켜 음주운전 경위 등을 조사했다.
35,음주운전으로 의심된다는 주민의 신고를 받고 출동해 차 안에서 잠이든 곽도원을 발견했다.
36,경찰은 동승자에 대해 음주운전 방조 혐의를 적용하는 것을 검토하는 한편 곽도원을 조만간 검찰에 송치한다는 방침이다.
37,최근에는 드라마 구필수는 없다를 통해 복귀했고 영화 소방관 촬영과 드라마 빌런즈의 촬영을 마치고 공개를 앞둔 상황이기도 했으나 음주운전으로 인해 공개에도 제동이 걸렸다.
38,경찰 곽씨 음주 경위 등 조사 중…동승자도 조사 예정해당 남성 인근 주거지에 내려준 뒤 차 몰다가 잠들어 배우 곽도원.
39,곽씨는 이 남성을 인근 주거지에 내려준 뒤 차를 몰다가 교차로 인근 도로 한가운데서 신호대기 중 잠이 든 것으로 파악됐다.
40,곽씨는 이 남성을 인근 주거지에 내려준 뒤 봉성리사무소 인근 교차로까지 차를 몰았으며 신호를 대기하던 중 잠이 들었다.
41,음주운전으로 의심된다’는 주민 신고를 받고 출동해 차 안에서 잠들어있던 곽씨를 발견했다.
42,경찰은 동승자에 대해 음주운전 방조 혐의 적용을 검토하는 한편 조만간 곽씨를 검찰에 송치한다는 방침이다.
43,직진이라고 선언하고 뒤이어 등장한 또 다른 솔로남은 “정말 괜찮은 분 만나면 올해라도 결혼할 생각이 있다고 해 ‘결혼 커플’ 탄생 예감을 드높인다.
44,한 솔로녀는 “자만추 (자연스러운 만남 추구) 해보고 싶기도 하고라고 연애관을 밝히고 또 다른 솔로녀는 “웃기고 털털하고 이런 느낌인데 이런 모습까지 좋아해 줄 수 있는 남자라고 이상형을 공개한다.
45,무신사 제공K콘텐츠 인기로 일본 젊은 층 사이에 한국 제품 선호도 높아지며 일본 온라인 쇼핑몰 내 K패션의 매출도 급증하고 있다.
46,쇼핑몰에 입점해 K패션을 전문적으로 판매하는 셀러들의 매출도 큰 폭으로 불어나고 있는 것으로 나타났다.
