,sentence
0,그룹 이달의 소녀 멤버 츄가 에잇세컨즈의 겨울 주력 아우터 판매에 나서고 고객들에게 스타일링을 제안한다.
1,고객들은 츄럭스에서 상품을 직접 체험해본 후 삼성물산 패션부문의 패션·라이프스타일 전문몰 SSF샵과 에잇세컨즈 오프라인 매장에서 구매할 수 있다.
2,츄가 일일 츄사장 가수 래원이 일일 알바생으로 활약하며 츄가 직접 고른 에잇세컨즈 아우터를 소개했다.
3,에잇세컨즈는 올겨울 시즌 트렌디한 디자인의 남녀 아우터를 다채롭게 출시했다.
4,털 칼라로 사랑스러운 느낌을 더한 숏패딩 밀리터리 무드를 담은 보머 패딩 짧은 기장과 토글 장식이 귀여운 후드 더플 반코트 길고 여유로운 핏이 멋스러운 캐시미어 혼방 핸드메이드 코트 트윌 조직으로 고급스러움을 더한 울 혼방 재킷 등을 주력으로 내놨다.
5,조항석 마케팅홍보담당(상무)은 에잇세컨즈가 MZ 세대를 대표하는 아이돌 츄와 겨울 아우터를 소개하는 이색적인 팝업 스토어 츄럭스를 마련했다며 재미와 신선함을 추구하는 고객들에게 에잇세컨즈만의 특별한 경험을 지속적으로 제공할 계획이라고 말했다.
6,피해자들은 음식을 기다리던 중 힘찬이 자신들의 휴대전화를 무단으로 가져갔고 이에 항의하자 힘찬이 주점 외부계단에서 허리를 두 손으로 감쌌다고 주장했다.
7,다른 여성도 힘찬이 가슴을 만진 느낌이 들어 강하게 항의했다는 취지로 주장한 것으로 알려졌다.
8,당시 힘찬은 법률대리인을 통해 “가파른 외부 계단에서 ‘에스코트’ 차원에서 신체에 손을 댔을 뿐 성적인 의도가 없었다라고 혐의를 부인했다.
9,A. P 멤버로 데뷔한 힘찬은 한일 양국에서 인기를 얻었으나 성추행 사건 이후 팀에서 탈퇴했다.
10,멤버들이 노래를 부르고 배경 화면이 가사에 맞춰 바뀌는 모습을 보면 영락없는 아이돌 그룹의 뮤직비디오다.
11,그러나 영상을 자세히 보면 멤버 모습이 우리가 아는 ‘일반적인’ 가수와 다르다.
12,실제 인물이 아닌 가상의 그래픽으로 만들어진 ‘버추얼 아이돌’이기 때문이다.
13,목소리만 실제일 뿐 외모 이름 등 모든 게 가상의 인물인 이 그룹의 이름은 ‘이세계 아이돌’.
14,인터넷 방송 트위치에서 활동하는 인기 스트리머 ‘우왁굳’이 기획한 그룹이다.
15,고세구 징버거 등 이세계 아이돌 멤버들은 실제 아이돌 못지않은 인지도를 자랑한다.
16,이세계 아이돌을 비롯한 국내 버추얼 아이돌부터 홀로라이브 니지산지 등 해외 그룹까지 모두 화제다.
17,아프리카TV는 자사 소속 방송인 BJ 타요와 함께 ‘우리가 아이돌’이라는 프로젝트를 기획해 만들었다.
18,▷왜 인기를 끄나 버추얼 아이돌(Virtual Idol)은 영어 단어 그대로 가상의 아이돌이라는 뜻이다.
19,‘페이셜 트래킹(얼굴 인식 기술)’을 통해 사람 얼굴을 그대로 아바타 얼굴 표정에 투영하고 ‘풀 트래킹(전신 인식 기술)’을 통해 연기자 움직임을 아바타가 그대로 따라 한다.
20,아담 역시 실제 인물이 부른 노래를 아바타가 부른 것처럼 만든 콘텐츠였다.
21,혁신적인 시도였지만 어색한 움직임에 부정확한 기술로 소비자들로부터 외면받았다.
22,풀 트래킹 기술까지 더해져 움직임 하나하나까지 아바타가 따라 할 수 있게 됐다.
23,이른바 젠지(Gen. Z)로 불리는 이들은 직접 참여해 콘텐츠를 만드는 것을 선호한다.
24,실제 세계에서 만나기는 불가능하지만 오히려 개인적인 소통은 일반 연예인보다 더 쉽다.
25,팬 아트나 팬 게임을 만들면 바로 방송에서 피드백을 받을 수 있고 팬이 뮤직비디오 등 콘텐츠 제작 과정에 스태프로 참여하기도 한다.
26,콘텐츠 업계 관계자는 “버추얼 아이돌 중 가장 높은 인기를 자랑하는 이세계 아이돌은 기획 단계부터 제작까지 팬들이 참여했다.
27,직접 만든 가수에 애정을 갖는 Z세대로부터 ‘이세돌’이 절대적인 지지를 받는 이유다라고 설명했다.
28,이세계 아이돌 멤버들은 유튜브 트위치 등 방송을 통해 시청자와 가상 세계에서 소통한다(아래).
29,(유튜브 화면 갈무리) 이세계 아이돌은 오디션부터 활동까지 모두 가상 세계인 ‘왁타버스’에서 이뤄졌다.
30,그중 한 가지로 VR 세계에서 활동할 아이돌 제작 프로젝트를 기획한 것이 바로 ‘이세계 아이돌’이다.
31,데뷔곡에 이어 두 번째 앨범 ‘겨울봄’까지 모두 인기를 끌며 현재도 승승장구 중이다.
32,가상 세계에서 활동하는 캐릭터인 탓에 각 캐릭터마다 독특한 세계관을 주입하는 것인 필수다.
33,일본의 버추얼 아이돌 기획사 홀로라이브는 굿즈 판매 콘서트 등을 통해 막대한 수익을 올린다.
34,(카카오엔터 제공 반진욱 기자) 카카오엔터가 선보이는 ‘소녀 리버스’는 실제 아이돌 가수가 참여하는 콘텐츠로 관심을 모은다.
35,다수의 K팝 히트곡을 만든 프로듀서팀의 신곡 무대를 선보일 계획이며 음원 플랫폼을 통한 음원 정식 발매도 예정돼 있다.
36,카카오엔터 관계자는 “참여자들이 본인의 원래 가수로서의 정체성을 잊고 프로그램에 몰두할 정도로 흥미를 느끼고 있다.
37,오히려 실제 아이돌 활동 때 보여주지 못했던 모습까지 보여줄 예정이다라고 분위기를 전해준다.
38,버추얼 아이돌 ‘원조’로 불리는 일본은 실제 가수 인기를 버추얼 아이돌이 따라 잡은 지 오래다.
39,이번 행사에는 방탄소년단 RM 제이홉 고현정 김영광 김영대 김우빈 김재영 김지석 김호영 나나 로운 몬스타엑스 민혁 몬스타엑스 형원 문가영 미주 박진영 박희정 배정남 변요한 산다라박 새소년 샤이니 키 선미 손영재 신시아 신현지 아이린 아이즈원 안유진 안효섭 엘리스 에스파 닝닝 위하준 유아인 이민정 이수혁 이재욱 이호정 장윤주 전종서 제시 지창욱 지코 차은우 한예리 혜리 마마무 화사 DJ 레이든 JAY BDJ 레이든 JAY B 등이 참석했다.
40,JTBC 제공OSEN박판석 기자 JTBC ‘비행기 타고 버디보이즈’(이하 ‘버디보이즈’)가 첫 방송을 앞두고 세가지 관전 포인트를 공개했다.
41,JTBC ‘버디보이즈’는 SM 이특-신동 JYP 닉쿤 FNC 강민혁 HYBE 백호 등 각 소속사 대표 아이돌들이 쉴 틈 없이 바쁜 일상을 내려놓고 여행과 골프를 위해 떠나는 신개념 스포츠케이션(운동 Sports 휴가 Vacation의 합성어) 버라이어티 프로그램이다.
42,볼거리 가득한 여행X골프 즐거움먼저 ‘버디보이즈’는 국내와 해외를 넘나드는 전무후무한 스케일로 눈길을 끈다.
43,‘버디보이즈’ 멤버들은 해외 출국 전 서로의 골프 실력을 점검하고 결속력을 다지기 위해 울산으로 전지훈련을 떠나며 첫 여행을 시작한다.
44,멤버들은 각 관광지에서 지덕체 미션을 수행하며 예능감을 발휘 기존 방송에서 보지 못한 꿀잼 케미로 큰 웃음을 선사할 예정이다.
45,JTBC 제공# 대한민국 대표 아이돌 선후배 사이의 특급 케미아이돌 선후배 사이의 대체 불가 특급 케미 역시 기대를 높인다.
46,필드에서 함께 골프를 치는 신선한 모습은 물론 ‘버디보이즈’에서 ‘엉망보이즈’가 된 사연까지 공개될 예정.
47,MZ세대 여행 트렌드 취향 저격‘버디보이즈’ 멤버들은 최고의 아이돌답게 노는 것도 먹는 것도 제대로 즐기며 MZ세대의 취향을 저격하는 여행 법을 선보인다.
48,국내에서 시작해 해외 여행지까지 자유로운 여행을 즐기며 풍성한 볼거리를 전할 예정.
49,특히 ‘버디보이즈’ 멤버들은 풍경이 아름다운 장소에 도착해 자연스럽게 음악을 틀고 즉흥적으로 안무도 제작해 숏폼 콘텐츠를 만든다.
50,MZ세대 아이돌들의 인증샷을 찍기 위한 특별한 과정도 또 하나의 볼 거리다.
51,이 영상에는 쟈니스 주니어를 탈퇴한 그룹 세븐맨 사무라이 출신 마에다 코키의 인터뷰 영상이 담겼다.
52,마에다 코기는 창업주 쟈니 키타가와에 대한 성추행 혐의를 묻는 질문에 쟈니 기타가와는 동성애자였다고 답했다.
53,앞서 일본 연예 업계에서는 키타가와 대표가 동성애자고 연습생과 잠자리를 한다는 소문이 돌았었다.
54,마에다 코기는 쟈니스 주니어의 몇몇 멤버들은 쟈니 키타가와와 관계를 가지면 데뷔할 수 있는 특권을 누릴 수 있기 때문에 스스로 원하는 아이들도 있었다고 했다.
55,그러면서 이런 것들이 성추행인지 아닌지 확실히 알 수 없지만 쟈니스 주니어들과 쟈니 키티가와 사이에 관계가 있었던 것은 확실하다고 주장했다.
56,이들은 힘찬이 자신들의 허리와 가슴 등 신체를 만졌다고 주장하는 것으로 알려졌다.
57,헤럴드POP이미지 기자 그룹 DKZ(디케이지) 재찬이 시맨틱 에러를 향한 각별한 마음을 드러냈다.
58,왓챠 ‘시맨틱 에러’의 추상우 역을 통해 라이징 스타로 발돋움한 재찬은 “‘시맨틱 에러’ 출연에 대해 소속사는 다시 생각해보자고 했지만 제가 할 수 있는 마지막 기회라는 생각이 들었다며 당시를 회상했다.
59,다행히 좋은 기회를 만나 저와 그룹을 좋아해주시는 분들이 많아졌다며 겸손한 소감을 전했다.
60,또한 DKZ는 ‘Kill This Love’ 연습 과정을 공개 돈독한 팀워크로 시청자들을 흐뭇하게 만들었다.
61,마칭밴드의 절도 넘치는 움직임을 그대로 가져와 도입부의 킬링 파트를 완벽하게 소화해내는가 하면 깔끔하고 절제력 있는 춤선으로 원곡과는 또 다른 신선한 매력을 발산했다.
62,모두의 시선이 무대로 향한 가운데 DKZ는 폭발적인 가창력으로 무대를 꽉 채운 것은 물론 총을 쏘는 듯한 ‘Kill This Love’의 포인트 안무를 완벽하게 커버해 섹시한 무드를 더했다.
63,마지막까지 DKZ 멤버들은 날카로운 눈빛과 표정 연기로 원곡의 매력을 더욱 돋보이게 만들었다.
64,사랑 노래 탈피해 자존감·주체성 노래사회적 젠더 인식 변화·글로벌 MZ 세대 겨냥한 전략 그룹 (여자)아이들과 르세라핌은 주체성과 자존감을 주제로 한 노래를 선보이며 인기를 얻고 있는 대표적인 그룹이다.
65,큐브엔터테인먼트 쏘스뮤직 제공꼴이 볼품없대도 어쩌면 네게도/ 다신 사랑받지 못한대도/ Yes I’m a nude 무시 마 내가 걸어온 커리어/ I go to ride till I die die/ 더 높이 가줄게K팝 아이돌 그룹들이 사랑 노래만을 부르던 시대는 지났다.
66,지금 이들은 구태의연한 사랑 노래 대신 주체성과 자존감 미래에 대한 의지를 노래하고 있다.
67,걸그룹의 경우 소녀의 첫사랑 풋사랑을 중심으로 비교적 수동적인 사랑의 감정을 노래하는 것이 대부분이었고 보이 그룹의 경우 자신이 택한 사랑을 쟁취하겠다는 열정이 담긴 곡을 주로 노래했다.
68,물론 이러한 흐름 속에서도 다양한 명곡들이 탄생했지만 사랑이라는 주제 속에 음악이 국한되며 아이돌 그룹의 음악은 상대적으로 저평가 당해왔다.
69,최근 이러한 주제를 전면에 내세운 노래는 (여자)아이들 누드·르세라핌 피어리스 안티프래질·에스파 넥스트 레벨 걸스·있지 스니커즈가 대표적이다.
70,이들 역시 최근 핑크 베놈 셧다운을 발매하며 주체성 자신감에 대한 메시지를 이어가고 있는 중이다.
71,물론 보이그룹에서도 이러한 변화는 속속 엿보이지만 걸그룹 시장에서 메시지의 변화는 더욱 도드라진다.
72,가장 큰 이유로는 사회의 변화 속 전통적 여성·남성상의 붕괴를 들 수 있다.
73,젠더 감수성이 변화하며 걸그룹과 보이 그룹에게 각각 요구되던 정형적인 이미지 역시 바뀌었고 고착화 된 이미지를 탈피한 아이돌 그룹들은 보다 폭넓고 주체적인 주제를 노래하기 시작했다.
74,그 중에서도 자존감 주체성에 관련된 주제를 가장 큰 화두로 떠오르게 만든 것은 현 가요 시장의 주 소비층인 MZ세대였다.
75,각자의 개성과 자신감을 중요한 가치로 여기는 MZ세대를 겨냥하기 위한 전략 하에서 아이돌 그룹의 메시지 역시 자연스럽게 변화한 것이다.
76,천편일률적인 사랑 노래에서 벗어나 주체적으로 변한 아이돌들의 메시지는 보다 폭넓어질 아이돌 음악의 진화를 기대케 만든다.
77,정원 희승 제이 제이크 성훈 선우 니키)의 성적표가 기대했던 것보다 미지근하다.
78,엔하이픈의 일본 앨범은 보더 이후 디멘션에서 상승세를 탔지만 정작 정규 앨범 첫날 판매량은 급감했다.
79,앨범 총 판매량이 아니라는 것으로 위안 삼을 수도 있지만 앨범 판매량을 중요시 하는 K팝 아이돌의 인기에는 썩 달갑지 않은 상황이다.
80,국내 주요 음원 차트에서 정상에 올랐지만 SBS M·SBS FiL 더쇼 MBC M 쇼!
81,엔하이픈이 주목 받는 신인으로 성장한 것은 사실이지만 일부에서는 그림자도 있는 것도 사실인 셈이다.
82,방탄소년단 지민 확신의 디즈니상 아이돌 PRINCE JIMIN방탄소년단(BTS) 지민이 신비롭고 비현실적인 만찢남 비주얼의 디즈니상 아이돌로 다시금 주목 받으며 글로벌 인기를 빛냈다.
83,미국 한류 매체 올케이팝(Allkpop)은 최근 패션 매거진 얼루어(allure)가 디즈니 애니메이션 주인공을 연상시키는 비현실적인 비주얼을 디즈니상으로 부른다며 진정한 만찢 캐릭터 확신의 디즈니상 아이돌에 선정한 지민을 집중 조명했다.
84,방탄소년단 지민 확신의 디즈니상 아이돌 PRINCE JIMIN특히 노엘 데보이는 사실 지민을 모든 왕자역에 캐스팅 해야해.
85,지민을 봐 살아 숨쉬는 왕자야 나는 개인 활동을 준비하는 BTS 멤버중 지민의 에릭 왕자에게서 영감을 받은 인어공주 콜라보레이션을 너무 보고 싶다라며 영화 출연은 물론 OST와 뮤직 비디오 참여 등에 꾸준히 지민을 추천해왔다.
86,지민은 눈부신 미소와 홀린 듯 빠져들게 만드는 신비로운 비주얼 귀족적이고 우아한 분위기에 다정한 성격까지 비현실적인 만찢남의 정석으로 불리고 있으며 전 세계 팬들은 디즈니와의 콜라보레이션을 통해 왕자님으로 변신한 지민의 모습을 기대하고 있다.
87,특히 출근길 및 공항 등에서 보이는 스타들의 사복 스타일링은 SNS를 통해 빠르게 공유되며 착용한 아이템들이 완판 행진을 기록하기도 한다.
88,여리여리하고 날씬한 슬렌더 몸매와 고급스럽고 세련된 외모로 사랑받는 로제는 무슨 옷을 입어도 환상적인 옷 핏을 자랑한다.
89,꾸안꾸 느낌의 트레이닝 패션부터 허리를 강조하는 크롭탑과 와이드팬츠 긴팔과 긴다리가 돋보이는 원피스까지 다양한 아이템들을 완벽하게 소화하며 유행에 민감한 MZ세대들이 열광하는 ‘워너비 스타’로 자리 잡았다.
90,탁월한 비율과 모던한 분위기로 ‘인간 생로랑’이라는 찬사를 듣고있는 로제는 생로랑과 티파니의 글로벌 엠버서더로 선정된 것에 이어 최근에는 글로벌 럭셔리 스킨케어 브랜드 ‘설화수’의 모델로 발탁되며 세계적으로 뜨거운 로제의 인기를 실감케 했다.
91,블렌딩 제공OSEN장우영 기자 음악 라디오 뮤아가 파티 플레이리스트를 손쉽게 제공한다.
92,음악 라디오 뮤아(Muah)가 ‘MZ 세대의 명절’이라 불리는 핼러윈 데이를 맞이해 파티에서 듣기 좋은 음악을 엄선 ‘Happy Halloween’ 채널과 ‘Trick or Treat’ 채널을 개설했다.
93,반면 ‘Trick or Treat’ 채널은 더 많은 이용자들의 니즈를 위해 팝 곡으로 구성됐다.
94,Billie Eilish의 ‘bad guy’ The Weeknd의 ‘Die For You’ Post Malone의 ‘Take What You Want (Feat.
95,Ozzy Osbourne Travis Scott)’ 등 핼러윈 분위기를 느낄 수 있는 곡들로 채워져 있다.
96,음악 라디오 플랫폼 ‘뮤아(muah)’에서는 핼러윈 테마 채널 외에도 ‘수능 금지 곡’ 크리스마스를 주제로 한 ‘찬바람 불면 곧 크리스마스!’ 새 학기를 맞이할 때 듣기 좋은 ‘새 학기 설레는 기분을 담아서’ 등 다양한 테마의 채널을 운영 중이다.
97,뮤아 관계자는 “앞으로 더욱 다양한 테마 채널을 개설하여 이용자들이 언제 어디서든 상황에 딱 맞는 음악을 감상할 수 있도록 노력할 것이라고 전했다.
98,뮤아는 오직 음악만을 듣기 원하는 이용자의 욕구를 충족시켜 주기 위해 탄생한 라디오 서비스다.
