,sentence
0,서울뉴시스 최현호 기자 금융당국이 국내 주요 기관투자자들과 간담회를 갖고 추종 매매나 환매를 자제해달라고 요청했다.
1,금융위 관계자는 지금 시장이 안 좋으니까 과도하게 쏠려가지 말고 기관 투자자들이니 중장기적 시각에서 차분하게 봐달라고 협조 요청을 했다면서 유동성은 항상 크런치가 일어날 수가 있으니까 시장에서 중심을 잡아달라는 것이라고 말했다.
2,금융당국은 이 자리에서 채권 매각과 펀드 환매가 필요한 경우 시장 상황을 감안해 시기를 분산해달라는 요청도 한 것으로 전해졌다.
3,금융당국은 또 MMF(머니마켓펀드)와 같은 단기자금 시장 환매도 자제해 달라고 당부했다.
4,현재 MMF 시장에는 문제가 없지만 기관들의 환매 규모가 커지면 시장 불안 요인이 될 수 있다는 이유에서다.
5,은행들은 채권시장 안정펀드의 캐피털 콜(투자 대상 확정 후 실제 투자 집행 시 자금 납입)에 응하고 은행채 발행도 최소화하기로 했다.
6,고금리·고환율·고물가 등으로 인한 경기침체 장기화로 불안해진 개인의 투자심리를 이용한 주식·투자 관련 스팸이 증가하고 있는 것으로 나타났다.
7,불법게임·도박 유흥업소 등 불법 유흥 홍보성 스팸도 가장 눈에 띄게 비중이 증가했다.
8,윤 대통령은 이날 용산 대통령실 청사에서 새 정부 출범 첫 국가과학기술자문회의를 주재한 자리에서 이같이 밝혔다.
9,과기자문회의는 대통령을 의장으로 하는 최상위 과학기술정책 의사결정 기구로 관련 혁신정책·R&amp;D 예산배분 등 심의와 정책방향 등을 자문한다.
10,윤 대통령은 과학기술은 경제와 산업 성장의 원천이라며 우리가 잘 먹고 사는 것이 또 제대로 공부하는 것이 우리 대한민국 국민과 세계시민 자유를 확장시키는 것이다.
11,각 전략기술 분야별 전략 로드맵 수립·관련 민관 합동 프로젝트 추진·특별법 제정 구상도 밝혔다.
12,문재인 정부에서 도입한 공공기관 블라인드 채용 관련 연구기관에 한해 우선 폐지 방침도 밝혔다.
13,윤 대통령은 최근 몇 년 동안 우수 연구자 확보를 가로막았던 공공기관 블라인드 채용은 연구기관에 대해 우선적으로 전면 폐지하겠다며 위원회에서도 정부출연연구기원의 발전전략과 함께 고민해달라고 당부했다.
14,윤 대통령은 자문회의를 중심으로 민관이 협력해서 과학기술 선도국가의 청사진을 그려 나가기를 기대한다며 오늘 논의가 과학기술 정책의 밑거름이 될 수 있도록 각 부처에서도 지원체계를 강화해달라고 말했다.
15,이어 현장 연구자들이 자율과 창의로 마음껏 연구활동을 할 수 있도록 정부가 지원에 최선을 다하겠다고 했다.
16,민간위원 외 과학기술연구원 카이스트(KAIST) 등 연구기관 전문가들도 참석했다.
17,정부 측에서는 추경호 경제부총리 겸 기획재정부 장관 이종호 과학기술정보통신부 장관 이창양 산업통상자원부 장관 이영 중소벤처기업부 장관 장상윤 교육부 차관 등이 참석했다.
18,왼쪽부터 이재식 농협중앙회 부회장 조소행 농협상호금융 대표이사 우성태 농협경제지주 대표이사 손병환 NH농협금융 회장 권준학 농협은행장 정영채 NH투자증권 대표이사 조두식 NH농협캐피탈 대표이사.
19,과기정통부 제공 파이낸셜뉴스 정부가 국가전략기술 집중육성의 일환으로 전략로드맵 기반 정책 및 투자 지원에 집중한다.
