,sentence
0,제작사 아이오케이컴퍼니 자사 준비 드라마와 빌런즈 거의 같아곽도원 음주와는 별개.
1,빌런즈 방영 불투명 곽도원 / 사진연합뉴스내년 공개 예정이었던 유지태·곽도원 주연의 티빙 오리지널 시리즈 빌런즈가 방송금지가처분 소송에 휘말렸습니다.
2,연예기획사 겸 드라마 제작사 아이오케이컴퍼니가 이 드라마의 각본에 대해 저작권법 위반을 주장하면서입니다.
3,아이오케이컴퍼니는 빌런즈 제작사가 저작권법을 위반해 지난달 서울중앙지방법원에 드라마 제작배포방송금지 등에 대한 가처분 신청을 냈다며 빌런즈를 집필한 김형준 작가에 대해서도 저작권법 위반 혐의로 서울 강남경찰서에 고소장을 접수했다고 전했습니다.
4,빌런즈를 제작한 태원엔터테인먼트는 김 작가는 저작권법 위반이 전혀 아니라는 입장이라며 양측이 원만히 합의 중이라고 전했습니다.
5,곽도원의 소속사 마다엔터테인먼트는 입장문을 통해 불미스러운 일이 발생한 점에 대해 깊은 사죄의 말씀 드린다면서 이유를 불문하고 곽도원과 소속사는 변명의 여지 없이 책임을 통감하고 있다고 밝히기도 했습니다.
6,내년 상반기에 공개할 예정이었던 곽도원 주연 드라마 빌런즈는 곽도원의 음주운전과 방송금지가처분 피소 등으로 공개 일정이 불투명해진 상태입니다.
7,콘텐츠 차별화가 성패 가른다탈통신 분주한 통신업계LG유플 연출서 제휴까지 담당콘텐츠 전문 브랜드 선보여제작 책임질 거물급 PD영입KT 우영우 흥행에 탄력오리지널 드라마·예능 제작가상콘텐츠 강점 부각버추얼 스튜디오로 승부수 LG유플러스가 자체 브랜드를 출시하며 드라마·다큐멘터리 콘텐츠 제작에 본격적으로 나선다.
8,KT가 올해 중순 드라마 이상한 변호사 우영우를 흥행시킨 데 이어서 LG유플러스도 자체 제작 드라마·다큐멘터리를 통해 성공 신화를 쓸 수 있을지 관심이 주목된다.
9,LG트윈스의 올해 여정을 담은 아워게임은 국내 온라인동영상서비스(OTT) 티빙에서 내년에 오리지널 콘텐츠로 방영될 예정이다.
10,이덕재 LG유플러스 최고콘텐츠책임자(CCO)는 아워게임은 LG유플러스 소속 권지훈 PD가 기획하며 제작할 예정이라며 버라이어티 드라마 다큐멘터리 등 장르와 관계 없이 콘텐츠를 제작하고 이를 넷플릭스 티빙 등 다양한 OTT에 제공할 것이라고 설명했다.
11,LG유플러스는 STUDIO X+U를 론칭하기 위해 CJ ENM 출신 미디어 콘텐츠 전문가 이덕재 전무를 임명하고 놀러와 나는 가수다를 연출한 신정수 PD와 런닝맨을 연출한 임형택 PD를 영입한 바 있다.
12,통신사인 LG유플러스가 이같이 나선 이유는 향후 미디어·콘텐츠 제작 분야가 미래 먹거리이기 때문이다.
13,TV보다 휴대폰에서 드라마를 시청하는 사람이 많아졌고 인구가 감소하면서 유료방송 가입자 수 성장세도 주춤한 상태다.
14,TV와 내수라는 두 가지 틀에 갇힌 콘텐츠 유통 분야는 매출액 증대에 한계가 있는 셈이다.
15,이 와중에 통신사들의 눈을 사로잡은 것은 지난해 대박이 난 넷플릭스 오리지널 드라마 오징어게임이었다.
16,업계 관계자는 자본력이 많은 통신사들이 너도나도 콘텐츠 제작에 뛰어들면서 제작 환경이 굉장히 좋아졌다며 너도나도 자체 IP를 확보하기 위해 노력하고 있다고 강조했다.
17,실제로 KT 자회사 스튜디오지니는 공격적인 투자를 단행했고 덕분에 드라마 이상한 변호사 우영우를 흥행시키는 등 조기에 성과를 달성했다.
18,이날 자체 브랜드를 론칭한 LG유플러스는 아직 구체적으로 몇 편을 제작할지는 밝히지 않았다.
19,황현식 LG유플러스 대표의 찐팬 전략에 맞춰서 젊은 층이 좋아할 만한 콘텐츠를 다양한 형식으로 보급한다는 계획이다.
20,자체 콘텐츠 제작은 관계사인 웨이브(SK스퀘어 자회사)가 담당하게 하고 직접적으로 콘텐츠를 제작하지 않는다.
21,세븐일레븐 제공‘우영우 김밥 이제 편의점에서 만나요~’편의점 세븐일레븐이 국내외에서 큰 인기를 끈 드라마 ‘이상한 변호사 우영우’(우영우) 제작사와 손잡고 ‘우영우 김밥’을 출시한다.
22,세븐일레븐은 첫 번째 협업상품으로 다음 달 중 ‘우영우 듬뿍참치김밥’과 ‘우영우통소시지김밥’을 내놓을 예정이다.
23,드라마 속 주인공 우영우가 김밥을 먹기 전 속재료가 모두 보이도록 눕혀서 정렬하는 특징을 살려 이번에 출시하는 김밥 역시 사각형 박스에 재료를 한눈에 알아볼 수 있도록 눕혀서 담았다.
24,또 주인공들 사진과 일러스트 등으로 꾸민 포토존을 운영하고 우영우 가방·헤드셋 등 공식 굿즈도 판매한다.
25,게임회사 크래프톤의 오디오 콘텐츠 신사업 ‘오딕’에도 배경 음악의 상당수를 AI가 작곡했다.
26,피아니스트 윤한 역시 잠 안 오는 현대인을 위한 수면 음악 제작을 위해 AI 작곡가와 협업하고 있다.
27,(포자랩스 제공) 윤한 씨는 “처음 포자랩스에 방문해 AI 음악을 들어보고 놀랐다.
28,AI가 곡의 기승전결을 갖춰 작곡하는 것이 기대 이상이었고 가상악기의 사용 믹스 마스터링도 수준급이었다.
29,연세대 인공지능 대학원 재학 중 이세돌과 알파고의 대결을 보며 영감을 받아 AI 작곡 사업을 시작했다.
30,허 대표는 “어렸을 때부터 SF 소설과 영화를 보며 인공지능 기술로 내가 상상하는 것을 실제로 만들어 볼 수 있는 세상이 올 것이라 꿈꿨는데 바로 지금이다 싶었다.
31,대학원 연구 과정에서 사업 기회를 많이 발견할 수 있었고 음성 합성 신약 개발 챗봇 서비스 등 다양한 서비스를 만들어 보고 실패도 했다.
32,시행착오 끝에 일상생활과 보다 맞닿아 있는 아이템을 찾아 사업화하고 싶었고 그렇게 AI 음악 개발을 시작했다고 소개했다.
33,그는 “음악 창작은 아직까지 전문가들의 영역이고 이를 인공지능 기술을 활용해 누구나 쉽게 음악을 만들 수 있는 세상을 만들고자 창업했다.
34,사용자가 직접 만든 음악을 친구들과 공유하고 이를 통해 추억을 쌓고 또 자신만의 독창적인 창작물을 만들어낼 수 있는 AI 음악 창작 서비스를 만들고 있다고 덧붙였다.
35,비전문가도 누구나 쉽게 그림을 그리고 사진을 찍고 영상을 촬영해 크리에이터가 되는 시대가 왔다.
36,배경음악이 필요한 고객사(클라이언트)에 포자랩스 AI가 생성한 음원을 제공하는 것이 대표적인 사업 모델이다.
37,게임업계에서 게임 신사업 등에 필요한 배경음악을 제공하거나 공중파 드라마 사운드 트랙을 만들어주기도 한다.
38,화장품 회사나 IT 회사가 만드는 TV 소셜미디어 광고 영상에 쓰일 배경음악을 작곡해 제공한다.
39,세계지식포럼이 제작하는 다양한 영상의 배경음악으로 또 포럼 현장 이곳저곳에서 포자랩스가 만든 주제가가 사용됐다.
40,피아니스트 윤한과 함께 AI 기술을 활용해 만드는 수면음악은 앨범 제작이 완료되면 앨범 발매를 통한 수익도 기대하고 있다.
41,개인 기업 고객들을 대상으로 영상 제작에 필수 요소인 배경음악을 포자랩스 AI가 만들어 라이브러리 음원을 제공하고 구독료를 받는다.
42,세계 최초로 저작권 협회(프랑스-룩셈부르크 저작권 협회)의 인정을 받은 AI 작곡가로 유명하다.
43,이 외 에이아이뮤직(AI Music)은 애플에 인수됐고 쥬크덱(Jukedeck)은 틱톡의 모회사 바이트댄스에 인수됐다.
44,빅테크 기업이 AI 음악에 관심을 갖고 개발과 투자에 집중한다는 사실은 저희 입장에서 매우 고무적이다.
45,AI 음악 작곡 기술이 기존의 작곡 기술의 훌륭한 보조 역할을 할 수도 또 색다른 대안이 될 수도 있다고 글로벌 기업들이 판단하고 있다고 생각한다.
46,뉴 에이지 재즈 등 ‘이지 리스닝’ 장르 곡은 AI 작곡이 용이한 편이다.
